PLANT_INFO_VC:low,CTRL_INFO_ModeSetting:low,PLANT_INFO_Mode:low,PLANT_INFO_SimulationTime:low,PLANT_INFO_VC:high,CTRL_INFO_ModeSetting:high,PLANT_INFO_Mode:high,PLANT_INFO_SimulationTime:high
300,1,0,0,1910,0,0,7710
300,1,1,0,1910,0,0,7711
299,1,1,0,1910,0,0,7712
297,1,1,0,1910,0,0,7713
296,1,1,0,1910,0,0,7714
294,1,1,0,1910,0,0,7715
292,1,1,0,1910,0,0,7716
291,1,1,0,1910,0,0,7717
289,1,1,0,1910,0,0,7718
288,1,1,0,1911,0,0,7719
286,1,1,0,1911,0,0,7720
285,1,1,0,1911,0,0,7721
283,1,1,0,1911,0,0,7722
282,1,1,0,1911,0,0,7723
280,1,1,0,1911,0,0,7724
278,1,1,0,1911,0,0,7725
277,1,1,0,1911,0,0,7726
275,1,1,0,1911,0,0,7727
274,1,1,0,1911,0,0,7728
272,1,1,0,1911,0,0,7729
271,1,1,0,1911,0,0,7730
269,1,1,0,1912,0,0,7731
268,1,1,0,1912,0,0,7732
266,1,1,0,1912,0,0,7733
265,1,1,0,1912,0,0,7734
263,1,1,0,1912,0,0,7735
261,1,1,0,1912,0,0,7736
260,1,1,0,1912,0,0,7737
258,1,1,0,1912,0,0,7738
257,1,1,0,1912,0,0,7739
255,1,1,0,1912,0,0,7740
254,1,1,0,1912,0,0,7741
252,1,1,0,1912,0,0,7742
251,1,1,0,1912,0,0,7743
249,1,1,0,1912,0,0,7744
248,1,1,0,1912,0,0,7745
246,1,1,0,1912,0,0,7746
244,1,1,0,1912,0,0,7747
243,1,1,0,1913,0,0,7748
241,1,1,0,1913,0,0,7749
240,1,1,0,1913,0,0,7750
238,1,1,0,1913,0,0,7751
237,1,1,0,1913,0,0,7752
235,1,1,0,1913,0,0,7753
234,1,1,0,1913,0,0,7754
232,1,1,0,1913,0,0,7755
231,1,1,0,1913,0,0,7756
229,1,1,0,1913,0,0,7757
228,1,1,0,1913,0,0,7758
226,1,1,0,1913,0,0,7759
224,1,1,0,1913,0,0,7760
223,1,1,0,1913,0,0,7761
221,1,1,0,1913,0,0,7762
220,1,1,0,1913,0,0,7763
218,1,1,0,1913,0,0,7764
217,1,1,0,1913,0,0,7765
215,1,1,0,1913,0,0,7766
214,1,1,0,1913,0,0,7767
212,1,1,0,1913,0,0,7768
211,1,1,0,1913,0,0,7769
209,1,1,0,1913,0,0,7770
